"programme","funding_body","country","application_url","status","type_label","citizenship_rule_verbatim","prior_doctoral_enrolment_rule_verbatim","age_or_time_since_degree_limit","money_what_is_covered_and_not","duration","deadline_and_round_status","portable_or_tied","field_fit_1to5","date_retrieved"
"FWF-funded doctoral candidate posts (standard personnel rate; also doc.funds)","Austrian Science Fund (FWF) via host university","Austria","https://www.fwf.ac.at/en/funding/steps-to-your-fwf-project/further-information/personnel-costs","ELIGIBLE","EMPLOYMENT (tied to PI's project)","No clause found on page.","No clause found on page.","None on page.","2026 doctoral rate ""EUR 50,220.00 per year"" at max 30 h/week (100% basis EUR 66,960); monthly gross EUR 2,832.10; +4.25%/yr from year 2. Employment under university collective agreement; taxed; social insurance included; only ÖH fee. NOT covered: relocation.","3-4 years matching host project","Per vacancy (FWF funds the supervisor's project). Vienna CeMESS / Dept of Geology, Graz.","TIED","2, 4; 3 (Vienna CeMESS marine microbiology)","2026-09-07"
"Contrat doctoral (ministerial/institutional doctoral contract) - Sorbonne/LOCEAN, Ifremer, IUEM Brest, EPOC Bordeaux, MIO Marseille","French State / host institution / ANR / Ifremer","France","https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000046820745","ELIGIBLE","EMPLOYMENT (tied; allocated via ecole doctorale concours)","""il n'y a aucune condition d'âge ou de nationalité requise"" (https://u-paris.fr/doctorat/le-contrat-doctoral/).","No clause found on either page. Only ""doctoral enrollment must be effective at the contract start date""; a master's in the preceding year is NOT mandatory.","Explicitly none.","Arrêté (Legifrance): ""à compter du 1er janvier 2026 : 2 300 euros brut"" per month. Public-law employee (""agents non-titulaires de l'état""); social security and pension included; net ~EUR 1,850-1,900. Doctoral registration fee ~EUR 400/yr NOT automatically covered. NOT covered: relocation.","""CDD de droit public de 3 ans""","Ecole doctorale concours ~May-July each year for October start (not published yet; previous cycle indicative); ANR/Ifremer project posts year-round. Need supervisor + subject BEFORE the concours; start 6+ months ahead. French helpful, not required.","TIED","1, 2, 4 strong (LOCEAN, IUEM, EPOC lipid biomarkers, MIO)","2026-09-07"
"FWO PhD Fellowship fundamental research","Research Foundation - Flanders (FWO)","Belgium (Flanders)","https://www.fwo.be/en/support-programmes/all-calls/phd/phd-fellowship-fundamental-research/","UNCLEAR - probably INELIGIBLE on the seniority / years-since-master's caps; get a written ruling before investing","SCHOLARSHIP (tied to a Flemish host)","No nationality clause. ""You must be affiliated to a university in the Flemish Community ..."" and ""At the start of the fellowship, you must hold a degree that is at least equivalent to a Master's degree ... awarded by the competent institutions of one of the countries of the EEA or Switzerland.""","""You may have a maximum of 18 months of scientific seniority on 1 March 2026."" ""The time span between your Master's degree or equivalent and 01 March 2026 may not be longer than three years."" ""You have not yet benefited from this fellowship, not even in part."" ""You can only apply twice."" FLAG: 2016-18 Bochum enrolment (~24 months) likely exceeds the 18-month seniority cap; the page does not say whether the 2011 or the 2026 master's starts the 3-year clock.","As above (seniority and post-master's caps).","""EUR 2,600 /month (index 2.1223 from 1/3/2025)"" + bench fee ""EUR 3,720/year""; largely tax-exempt fellowship with social-security cover via host. NOT stated: tuition, relocation, health detail.","""4 Year""; ""No extension possible""","2 Mar 2026 17:00 CET - closed; annual early March (next not published; previous cycle indicative). Internal university deadlines weeks earlier; needs Flemish ZAP supervisor + full proposal (6 months lead).","TIED","1-4 (Ghent, VUB)","2026-09-07"
"FCT PhD Studentships (Bolsas de Doutoramento), Regular Line","Fundação para a Ciência e a Tecnologia (FCT)","Portugal","https://www.fct.pt/en/concursos/concurso-bolsas-de-doutoramento-2026-linha-de-candidatura-geral/","CONDITIONAL (eligible; 2026 call closed; low money)","SCHOLARSHIP (tied to named Portuguese host + supervisor)","""Portuguese citizens, citizens of EU member states, citizens from third-party states, stateless citizens and citizens beneficiaries of political refugee status are eligible to apply.""","Applicants ""must not have previously received FCT PhD funding and cannot already hold a doctorate"". No clause on prior enrolment elsewhere -> passes.","None found on call page.","2025 table: BD ""EUR 1,309.64/month in Portugal; EUR 2,118.65/month abroad""; FCT states all grants rose EUR 50 from 1 Jan 2026 (-> ~EUR 1,359.64, derived, 2026 table is image-only - not verified). Covers tuition fees, training, conference presentation, personal accident insurance, ""when applicable, travel and relocation costs"". Bolsa, not employment: no pension; voluntary social insurance is the fellow's cost. Weakest money in the EU set.","4 years standard (not stated on call page)","31 Mar 2026 17:00 Lisbon - closed (call 2-31 Mar 2026). Annual in March; next not published (previous cycle indicative). Needs host + supervisor + work plan (2-3 months).","TIED","1-4 (CIIMAR, CCMAR, MARE, IPMA)","2026-09-07"
"Borsa di dottorato (PhD scholarship) - representative: University of Trento; marine hosts OGS Trieste, SZN Naples, CNR-ISMAR, Ca' Foscari","Italian universities / MUR","Italy","https://www.unitn.it/en/study/fees-scholarships-accommodation/scholarships-and-awards/phd-scholarships","ELIGIBLE (representative figures; check each bando)","STUDENTSHIP (place won by concorso)","No clause found on page; Italian concorsi are routinely open to foreign nationals.","No clause found on page. CAUTION: Italian bandi commonly exclude candidates who already held a funded Italian PhD place (borsa) - national norm, not verified on a primary page.","None on page.","""18,345 euros gross per year"" (to 41st cycle); from 42nd cycle (2026-27) ""from 18,345 euros to 25,200 euros gross per year""; + research budget 10% of scholarship; +50% for periods abroad. Gross before INPS gestione separata. Tuition waiver not confirmed on page (normally only regional tax + stamp duty).","3 years (renewed annually)","Per-university concorso, typically spring-summer for 1 Nov / 1 Jan start; next round not published on page. Written project + oral exam (2-3 months).","TIED","1, 4 (via marine hosts); Trento itself not marine","2026-09-07"
"Government of Ireland Postgraduate Scholarship Programme (GOIPG)","Taighde Éireann - Research Ireland","Ireland","https://www.researchireland.ie/funding/government-ireland-postgraduate/","UNCLEAR (two official sites disagree on amount and call status; 2027 call not confirmed)","SCHOLARSHIP (portable within eligible Irish HEIs, with supervisor)","No nationality clause on either page (""plus additional EUR 4,000 for non-EU nationals"" fee provision only). As an EU citizen he pays EU fees.","""open to new entrants to a Master's or PhD programme or to registered students in the first year of the degree for which they are seeking funding"" - new-entrant rule; disclose the 2016-18 enrolment and check the full call document.","None found.","researchireland.ie (2026 call): stipend EUR 25,000 p.a.; fees up to EUR 5,750 p.a.; direct research expenses EUR 3,250 p.a. research.ie (2025 call): stipend EUR 22,000; fees up to EUR 5,750. Two sources disagree; the 2026 page is newer. NOT covered: health insurance, relocation.","1-4 years","2026 call closed 23 Oct 2025 (researchireland.ie); research.ie shows ""CURRENT CALL CLOSED"". A search snippet said the programme ""will not open for the 2027 call"" - NOT confirmed on an official page. Verify directly. HEI internal deadlines ~2 weeks before national one; 4+ months lead.","PORTABLE (within Irish HEIs)","1-4 (Galway Ryan Institute, UCC MaREI)","2026-09-07"
"Marine Institute Cullen Scholarship Programme (PhD studentships)","Marine Institute (Ireland)","Ireland","https://www.marine.ie/site-area/research-funding/research-funding/post-graduate-scholarship-programmes","UNCLEAR - he cannot apply directly; watch for HEI-advertised Cullen studentships","STUDENTSHIP (tied to named project)","No clause found on page. ""Applications for Cullen Scholarships are submitted by academic staff in Higher Education Institutes in collaboration with Marine Institute researchers.""","No clause found on page.","Not stated.","Not stated on pages opened (historic: ""EUR 5 million ... 51 awards"" since 2014 -> ~EUR 100k/award over 4 yrs, inference).","Not stated (Cullen PhDs advertised as 4-year)","No Cullen call currently listed; next round not published.","TIED","1, 3, 4","2026-09-07"
"FPI / FPU predoctoral contracts (national) - ICM-CSIC Barcelona, IIM-CSIC Vigo","Agencia Estatal de Investigación (AEI) / Ministry","Spain","https://www.uah.es/es/investigacion/area-de-investigacion/programa-propio/Contratos-Predoctorales-de-Formacion-de-Personal-Investigador-FPI-2026/","UNCLEAR - national call pages returned HTTP 503 three times; only a university-internal FPI page opened","EMPLOYMENT (contrato predoctoral, Ley de la Ciencia)","NOT VERIFIED (aei.gob.es unreachable). UAH internal page gives no nationality clause.","NOT VERIFIED.","NOT VERIFIED.","NOT VERIFIED (4-year salaried contract under Ley de la Ciencia; figures not confirmed). Foreign degrees need Ministry ""equivalencia"" of grades - start months ahead (from search results, not verified on a primary page).","4 years (national FPI, not verified on primary page)","UAH internal FPI 2026 window 1-30 Sep 2026 (opened). National FPI reported 20 Oct - 20 Nov 2026 - NOT verified on an AEI page. Re-check aei.gob.es directly.","TIED (to an AEI-funded project)","1-4 (ICM-CSIC, IIM-CSIC excellent)","2026-09-07"
"ECORD Research Grants (research/travel top-up, EUR 4,000 max) - only once enrolled","ECORD / ESSAC","ECORD member countries (incl. Germany)","https://iodp3.org/call-for-applications-to-ecord-research-grants-2026/","CONDITIONAL - top-up for year 1-2 of a PhD, NOT PhD funding","SCHOLARSHIP (tied research grant)","""Applicants should be enrolled in either a PhD programme or hold a post-doctoral research position at an institution within an ECORD country.""","No clause found; must already be enrolled.","None stated.","""Maximum of EUR 4,000"" for ""travel and laboratory expenses""; no stipend, fees or salary. Work ""must be conducted outside the applicant's home institution"".","Single grant","31 Dec 2025 - closed; annual, next not published (previous cycle indicative). Needs 5-page mini-proposal + supervisor letter. ECORD summer-school scholarships (Bremen/Leicester, Apr-May 2026, closed) are attendance grants only.","TIED","2, 4 (IODP core material; MARUM Bremen Core Repository)","2026-09-07"
"Antarctic Science International Bursary (research-cost top-up)","Antarctic Science Ltd","UK-administered, worldwide","https://www.antarcticsciencebursary.org.uk/about","CONDITIONAL - top-up only, requires institutional affiliation; NOT a PhD stipend","SCHOLARSHIP (portable research grant, paid to institution)","""Bursary awards are intended to support the career development for promising early career scientists worldwide, working in any field of Antarctic science""; applicants ""must be affiliated with an institute, as payments go to institutions, not individuals"".","No clause found. ""Career breaks or reduced research activity may affect eligibility, though exceptions can be considered.""","""early career scientists"" (not quantified)","No fixed amount; ""over GBP 271,000 has been awarded to 58 early career researchers"" over 5 years (~GBP 4,670 average). Research costs only - no stipend, fees, insurance.","Single award","""Bursary applications open from January-March""; exact date not published.","PORTABLE (with institution)","1-5 where Antarctic","2026-09-07"
"IGNITE Doctoral Landscape Award (successor to INSPIRE/SPITFIRE) - Southampton + NOC, NHM, BAS, MBA","NERC (UKRI)","United Kingdom (England)","https://ignite-dla.soton.ac.uk/ignite-apply/","CONDITIONAL (30% cap ~5 places/yr; international fee gap not stated - ask; likely covered by Southampton Presidential Bursary)","STUDENTSHIP (named projects; self-proposed accepted)","""Both UK and international students are eligible to apply to an IGNITE Project. However, a maximum of 30% of IGNITE studentships (usually 5 studentships per year) can be provided to international applicants""","No clause found on page.","None stated.","""A tax-free stipend of £21,805 per year (the UK Research and Innovation 2026/27 rate)""; UK tuition fees covered; international fee difference NOT stated (unresolved). NOT covered: visa GBP 558, IHS GBP 776/yr, relocation.","3.5 years","8 Jan 2027 for Oct 2027 entry (projects live on FindAPhD mid-Nov 2026). Annual. English: ""IELTS overall 6.5 / TOEFL overall 92 (Band C), if applicable""; UNIcert not named.","TIED","1, 2, 3, 4 (NOC = best UK host for marine biogeochemistry / organic geochemistry)","2026-09-07"
"GW4+ Doctoral Landscape Training Partnership - Bristol, Bath, Cardiff, Exeter + BAS, BGS, UKCEH, NHM, PML","NERC (UKRI)","United Kingdom (England + Wales)","https://www.exeter.ac.uk/study/pg-research/funding/phdfunding/fundedcentres/gw4/","ELIGIBLE (fee difference explicitly waived)","STUDENTSHIP (named projects advertised from October)","Exeter: ""Those international students offered a NERC GW4+ Doctoral Training Partnership full studentship starting in 2026 will only be charged the 'home' tuition fee rate (which will be covered by the studentship)."" Bristol: ""There will be a limited number of studentships available to international students - including those from the EU.""","No clause found on Bristol or Exeter GW4+ pages.","None stated.","Stipend at UKRI rate (Exeter page shows GBP 20,780 for 2025/26; 2026/27 = GBP 21,805; Bristol page stale at GBP 19,237). Fees at home rate, covered; international difference not charged. NOT covered: ""UK Student visa costs or the cost of the mandatory UK Immigration Health Surcharge"".","42 months","Not published yet for Oct 2027; previous cycle 8 Jan 2026 23:59 GMT (indicative). Bristol Organic Geochemistry Unit = direct field-2 hit.","TIED","1, 2, 3, 4","2026-09-07"
"ACCE+ Doctoral Landscape Award - Liverpool, Sheffield, York + UKCEH, NHM, National Oceanography Centre","NERC (UKRI)","United Kingdom (England)","https://accedtp.ac.uk/how-to-apply/","ELIGIBLE (fees resolved; only DLA with a published Oct-2027 deadline)","STUDENTSHIP","""ACCE+ studentships are available to UK and international students. Due to UKRI funding regulations we are only able to offer up to 30% of our studentships to international applicants."" ""no more than 30% of ACCE+ interview places will be allocated to international applicants"".","No clause found on https://accedtp.ac.uk/eligibility/.","None stated.","""For 2026/27 the stipend rate is £21,805."" ""Home fees are already covered in the UKRI funding, meaning that successful international candidates do not need to find any additional funding for fees."" ""Visa, health surcharge and relocation costs for international candidates are not covered by ACCE+.""","NERC standard 3.5 years (not stated on page)","""Candidate application deadline - 5.00pm (UK time), Thursday 7th January 2027"" for Oct 2027 entry; opens late Oct 2026. Two referees; ""Not all ACCE+ departments are accepting international candidate applications"".","TIED","1, 3 (biology/ecology-weighted; NOC partner)","2026-09-07"
"ARIES Doctoral Landscape Award - UEA, Essex, Kent, Plymouth, Royal Holloway (+ BAS, CEFAS, PML)","NERC (UKRI)","United Kingdom (England)","https://www.plymouth.ac.uk/student-life/your-studies/research-degrees/doctoral-training-partnerships/aries-doctoral-training-opportunities","ELIGIBLE (fee difference waived by registering university; ARIES/UEA sites block fetching)","STUDENTSHIP (named projects)","Plymouth: ""A limited number of studentships are available for international applicants, with the difference between 'home' and 'international' fees being waived"". Kent: ""If you are applying as an international candidate, Kent will waive the difference between Home and International fees.""","No clause found on Kent or Plymouth pages.","None stated.","Stipend ""equivalent to the Research Councils UK National Minimum Doctoral Stipend, currently £20,780 p.a"" (2025/26; 2026/27 GBP 21,805); fees waived to home level; RTSG. ""ARIES funding does not cover additional costs associated with relocation to, and living in, the UK, such as visa costs or the health surcharge.""","Not stated on pages opened (NERC 3.5 yr)","Not published yet for Oct 2027; previous cycle 7 Jan 2026 23:59 GMT (indicative).","TIED","1, 2, 3, 4 (UEA, Plymouth, PML, CEFAS)","2026-09-07"
"IAPETUS Doctoral Landscape Award - Durham, Glasgow, Heriot-Watt, Newcastle, St Andrews, Stirling (+ BAS, BGS, UKCEH)","NERC (UKRI)","United Kingdom (England + Scotland)","https://iapetus.ac.uk/how-to-apply/","CONDITIONAL (fee gap left to each institution - confirm in writing with supervisor)","STUDENTSHIP (named projects online from 6 Nov 2026)","""Iapetus can award no more than 30% of studentships to international applicants each year.""","No clause found on page.","None stated.","""UKRI funding covers tuition fees at the Home fee rate."" International fee gap: discuss with supervisor, varies by institution -> not guaranteed fully funded. Stipend not printed (UKRI GBP 21,805).","Not stated","5 Jan 2027, 12:00 GMT for Oct 2027 entry; applications open 6 Nov 2026. Applicant Guidance PDF not opened.","TIED","2, 4 (Durham/Newcastle/St Andrews; BAS palaeoclimate)","2026-09-07"
"E5 Doctoral Training Partnership (successor to E4) - Edinburgh + SRUC + SAMS","NERC (UKRI)","United Kingdom (Scotland)","https://e4-dtp.ed.ac.uk/how-to-apply/entry-and-eligibility-criteria","ELIGIBLE (Edinburgh covers fee difference; 4-year award; international applicants must be PRE-NOMINATED by supervisor)","STUDENTSHIP (advertised + self-proposed)","""International students are eligible to apply for a UKRI-funded postgraduate studentships."" ""UKRI restricts the number of international students that DTPs can take on board to a maximum of 30% of their overall students' number per cohort."" ""The University of Edinburgh will cover the difference between Home fees and International fees"".","No clause found on page.","None stated.","""fully funded four-year studentship, which provides a stipend (set at UKRI rate), tuition fees and research costs of £3450"" + funded 3-month placement. NOT covered: visa, IHS, relocation.","4 years","Not published yet (""E5 DTP Application for 2027 - Opening Soon""); previous cycle 14 Dec 2025 midnight GMT (indicative). ""For international applicants, you must be pre-nominated by your prospective supervisor before submitting an application"". English: IELTS 6.5 (6.0) / TOEFL 92 (20) / CAE-CPE 176 (169) / Trinity ISE II; certificates <=2 years old; UNIcert not listed.","TIED","1, 2, 3, 4 (SAMS; Edinburgh GeoSciences organic geochemistry)","2026-09-07"
"YES-DTN (Yorkshire Environmental Sciences Doctoral Training Network, successor to Panorama) - Leeds, York, NCAS","NERC (UKRI)","United Kingdom (England)","https://yes-dtn.ac.uk/frequently-asked-questions-faqs/","ELIGIBLE on fees; weaker marine fit","STUDENTSHIP","""up to 30% of our full scholarships to international candidates"" (~7 of ~26/yr).","""Unfortunately not. We are not permitted to fund applicants who have already been awarded a doctorate."" -> turns on AWARD, not registration; he is not caught.","None stated.","UKRI-rate stipend (GBP 21,805 2026/27) for 3.5 yrs (3.75 with placement); ""YES-DTN will cover all your university fees (regardless of home-international fee difference)"". NOT covered: ""accommodation, travel, student visa, health surcharge"".","3.5 years (3.75 with placement)","Not published yet; previous cycle 7 Jan 2026 12:00 GMT (indicative). ""International applicants will need proof of English language e.g. IELTS/TOEFL"".","TIED","1 (Leeds palaeo/biogeochemistry); no marine institute partner","2026-09-07"
"TREES DLA (successor to London NERC DTP) - UCL lead + Birkbeck, Brunel, KCL, QMUL, RHUL + Kew, NHM, IoZ","NERC (UKRI)","United Kingdom (England, London)","https://www.trees-dla.ac.uk/apply","CONDITIONAL (overseas-fee studentships limited; highest English bar; poor marine fit)","STUDENTSHIP","""TREES is subject to the UKRI cap on international offers and interview opportunities are offered relative to this cap."" ""TREES can offer a number of studentships to applicants eligible to pay international fees, which will cover overseas fees and pay the standard UKRI stipend but may be restricted to one of the TREES partners, depending on funding availability.""","No clause found on page.","None stated.","Overseas fees + UKRI stipend with London weighting (GBP 23,805 for 2026/27) on the international-eligible studentships. NOT covered: visa, IHS.","Not stated","Not published yet; previous cycle 17 Dec 2025 17:00 (indicative) - ~3 weeks earlier than other DLAs. English: ""Overall grade of 7.0 with a minimum of 6.5 in each of the subtests"". Imperial and BAS no longer partners.","TIED","3, 4 (collections/biology-weighted)","2026-09-07"
"CREATES DLA - Cambridge + British Antarctic Survey","NERC (UKRI)","United Kingdom (England)","https://nercdtp.esc.cam.ac.uk/prospective-students/how-apply-updated-2026-entry","CONDITIONAL (limited international places; Cambridge waives fee difference)","STUDENTSHIP (15 x 3.5-yr)","Funding page: ""The CREATES NERC DLA is also able to offer a limited number of studentships to international students, and funding from UKRI will cover both fees at the UK rate, the NERC maintenance allowance (stipend) to support living costs, and an RTSG."" ""the University of Cambridge has agreed to waive the difference between the international and home fee for DLA students.""","No clause found.","None stated. Academic bar: ""at least a 2.1 in an Honours degree from a UK University or equivalent standard from an Overseas University"".","""For 2025/26, the NERC maintenance allowance is £20,780 per annum"" (2026/27 GBP 21,805); UK-rate fees + waiver of difference; RTSG. ""The DLA cannot support other costs such as visa and health surcharges.""","3.5 years","""either 8th December 2026 or 6th January 2027"" (course-dependent) for Oct 2027 entry. Same application feeds Gates / Harding / Cambridge Trust.","TIED","4; 1 via BAS","2026-09-07"
"CENTA3 DLA (project route) - Birmingham, Cranfield, Leicester, Loughborough, OU, Warwick + BGS, UKCEH, NCEO","NERC (UKRI)","United Kingdom (England)","https://centa.ac.uk/apply/centa-studentship-information/","CONDITIONAL - effectively NOT fully funded for an international (fee shortfall ~GBP 20,000+/yr); deprioritise","STUDENTSHIP","""UKRI allows international students to be eligible for studentships but only for a maximum of 30% of the cohort.""","No clause found.","None stated.","""A contribution to the university fees at the level of support for Home-fee-eligible students. Please note that there will likely be a shortfall in fees that will need to be covered from another source."" ""CENTA can only fund tuition fees at Home fee level"". Stipend GBP 20,780 (2025/26 on page). Visa/IHS/flights not reimbursed.","Not stated","2027-entry project route opens ""mid-late October 2026""; closing date not published (previous cycle early Jan 2026, indicative).","TIED","2, 4 (little marine)","2026-09-07"
"QUARTILES DLA (successor to QUADRAT) - Aberdeen + Queen's University Belfast","NERC + BBSRC (UKRI)","United Kingdom (Scotland + Northern Ireland)","https://quartiles-dla.ac.uk/funding-eligibility/","CONDITIONAL (fee gap waived; but international quota of 5/19 was already full for Oct 2026 - next round Oct 2027)","STUDENTSHIP (named projects on FindAPhD)","""international places are limited by UKRI to a maximum of 30% of the annual intake of 19 students. This equates to a maximum of 5 places annually.""","No clause found.","None stated.","""Stipend based on RCUK rates (Estimated £21,383 pa for the 2026/2027 academic year, updated annually)"" - below the confirmed UKRI GBP 21,805 (UKRI authoritative). ""a fee waiver for the difference between the UK Level and International Level tuition fee"". NOT covered: ""visa costs (either for yourself or for accompanying family members), immigration health surcharge or any other additional costs associated with relocation to the UK"".","Not stated","2026 round closed 23 Jul 2026; 2027 round not published.","TIED","3, 4 (modest marine fit)","2026-09-07"
"Gates Cambridge Scholarship","Bill & Melinda Gates Foundation / University of Cambridge","United Kingdom (England)","https://www.gatescambridge.org/apply/eligibility/","ELIGIBLE (verified by coordinator 2026-09-07)","SCHOLARSHIP (tied to a Cambridge place; via the graduate application)","""a citizen of any country outside the United Kingdom""; eligible courses include ""PhD (full-time or part-time*)"".","""if you have already started a course (for example, you are currently part way through a PhD) you cannot apply for a Gates Cambridge Scholarship to fund the remainder of it"" - about a course already started at Cambridge; not a prior-enrolment bar.","None found.","Not on the pages opened (full University Composition Fee at overseas rate + maintenance normally - NOT VERIFIED here).","Full PhD","""either Tuesday 8th December 2026 or Wednesday 6th January 2027"" (course-dependent); outcomes by 8 Mar 2027. Start Sept/Oct 2026: supervisor, proposal, 3 references, Gates statement.","TIED","1-5 via Cambridge Earth Sciences / CREATES","2026-09-07"
"Harding Distinguished Postgraduate Scholars Programme (Cambridge)","Harding Foundation / University of Cambridge","United Kingdom (England)","https://www.hardingscholars.fund.cam.ac.uk/apply/application-and-eligibility-information","ELIGIBLE","SCHOLARSHIP (tied; via Cambridge application)","""Applicants of any nationality are welcome.""","Applicants already holding a PhD, or who previously received an HDPSP award, are ""not normally eligible for an award unless at the discretion of the Advisory Committee who may approve an award to an applicant with exceptionally groundbreaking interdisciplinary research."" -> about HOLDING a PhD; disclose Bochum.","None found.","Not stated on page opened (reported as full fees + maintenance + research allowance + airfare + visa + IHS - NOT VERIFIED). ""All Scholars ... are expected to be resident in the UK for the majority of their studies""; not tenable at Trinity or St John's.","Full PhD","Opens Sept 2026; submission early Dec 2026 or early Jan 2027 (course-dependent); offers late Feb - early Mar 2027.","TIED","1-5","2026-09-07"
"Clarendon Fund Scholarships (Oxford)","Oxford University Press / University of Oxford","United Kingdom (England)","https://www.law.ox.ac.uk/admissions/scholarships-index/other-sources-funding-index/clarendon-scholarships","ELIGIBLE (ox.ac.uk primary pages return 403 - quoted from the official Law Faculty page)","SCHOLARSHIP (tied; automatic consideration via course application)","""no restrictions on nationality, ordinary residence or field of study""","No clause found on page.","None found.","""course fees and maintenance costs"" for the ""full fee liability period"" - pays the OVERSEAS fee rate in full. 2027/28 maintenance figure not verified (ox.ac.uk unreachable).","Fee-liability period of the DPhil (3-4 yrs)","""by the January application deadline"" for the course; Oxford Earth Sciences DPhil deadline for Oct 2027 NOT VERIFIED (early Dec 2026 / early Jan 2027 pattern).","TIED","1, 2, 4 (Oxford Earth Sciences - department page not opened)","2026-09-07"
"President's PhD Scholarships","Imperial College London","United Kingdom (England, London)","https://www.imperial.ac.uk/study/fees-and-funding/postgraduate-doctoral/grants-scholarships/presidents-phd/","ELIGIBLE (highest UK stipend found; earliest UK deadline)","SCHOLARSHIP (tied; department nominates; tick funding box in application)","""There are no restrictions on nationality""","""The scheme is only open to new PhD applications. Current registered Imperial PhD students are not eligible."" -> bars current Imperial students only.","None stated.","""Full funding for tuition fees"" (overseas rate) + stipend GBP 26,500 p.a. (2026-27) + ""£2,000 per annum for the first 3 years of study"" consumables. NOT covered: visa, IHS.","3.5 years","Not published yet for 2027-28; previous cycle rounds 3 Nov 2025, 12 Jan 2026, 2 Mar 2026 (indicative) -> expect early Nov 2026 first round; supervisor conversation in Sept/Oct 2026. 50 awards College-wide.","TIED","1, 2, 5 (Earth Science & Engineering; Grantham Institute not verified)","2026-09-07"
"Edinburgh Doctoral College Scholarships (EDCS)","University of Edinburgh","United Kingdom (Scotland)","https://registryservices.ed.ac.uk/student-funding/postgraduate/international/other-funding/doctoral-college","ELIGIBLE (full international fee covered) - 2027/28 funding not yet confirmed","SCHOLARSHIP (tied; separate scholarship portal after programme application)","""The awards are open to UK and overseas students applying to start their first year of study for an on-campus research degree in 2026-2027.""","No clause found. ""applying to start their first year of study"" reads as first year at Edinburgh - the one ambiguity; query the Doctoral College in writing.","None stated.","""the University tuition fee"" (GeoSciences page: ""tuition fee (Home or International students)"") + ""a stipend equivalent to the UKRI stipend rate (for 2025-2026 this is currently £20,780)"" + GBP 3,000 RTSG, 3.5 years. NOT covered: visa, IHS, relocation.","3-4 years","""Funding for this award has yet to be confirmed for Academic Year 2027/28."" Previous cycle: programme application 22 Jan 2026 23:59 GMT; scholarship portal 2 Feb 2026 17:00 (indicative).","TIED","1, 2, 3, 4","2026-09-07"
"University of Bristol Postgraduate Research Scholarships (Faculty of Science and Engineering)","University of Bristol","United Kingdom (England)","https://www.bristol.ac.uk/science-engineering/postgraduate-research/pgr-scholarships/","ELIGIBLE (Home OR overseas fees covered)","SCHOLARSHIP (tied)","Funding table marks Bristol PGR Scholarships as covering ""Home or overseas"" fees (EPSRC DLA line: ""Home (overseas 30% per cohort per grant)"").","No clause found on page.","None stated.","Stipend ""UKRI rate - £20,780 for 25/26"" (2026/27 GBP 21,805); fees Home or overseas (overseas Earth Sciences fee GBP 27,500/yr, ""budget for up to an 8% increase in fees each year""); RTSG GBP 7,000-8,400 total. NOT covered: visa, IHS.","4 years registration","Not published yet for 2027/28; previous cycle 19 Jan 2026 (indicative). >50 scholarships faculty-wide; supervisor + project agreed in advance.","TIED","2 above all (Bristol Organic Geochemistry Unit: lipid biomarkers, CSIA); also 1, 4","2026-09-07"
"SERVO PhD Studentships (Solutions for the Marine Environment), Plymouth Marine Institute","University of Plymouth","United Kingdom (England)","https://www.plymouth.ac.uk/research/institutes/marine-institute/funding-support-development-and-recognition/servo-phd-studentships","ELIGIBLE (funds INTERNATIONAL fees outright; 2027 = final cohort)","STUDENTSHIP (staff-developed projects then advertised)","No nationality clause; funding clause: ""full home or international tuition fees plus an annual stipend that reflect the University rates per annum"" and ""Bench fees (to cover research costs) will also be funded up to a maximum limit.""","No clause found.","None stated.","Full home OR international fees + stipend at University rates (figure not published - NOT VERIFIED) + bench fees up to a cap. NOT covered: visa, IHS. (Sister scheme Marine Research Plymouth: Home fees only - international applicants ""will have to cover the difference"" -> NOT fully funded; do not confuse.)","Not stated","14 Sep 2026 (student-led project ideas) and 19 Oct 2026 midday (staff-led proposals) are SUPERVISOR deadlines; candidate adverts follow. 2027 cohort is the last of three.","TIED","1, 3, 4 (Plymouth MI, PML, MBA adjacent)","2026-09-07"
"Southampton Presidential Bursaries (international fee-difference top-up)","University of Southampton","United Kingdom (England)","https://www.southampton.ac.uk/study/fees-funding/scholarships/postgraduate-uk/presidential-bursaries","CONDITIONAL - fee-gap bursary only, no stipend; may be what makes an IGNITE offer fully funded","SCHOLARSHIP (tied; automatic)","Aimed at ""international postgraduate researchers""; eligibility ""accepted a PhD offer and start your studies between 1 August 2026 and 31 January 2027"" plus ""a first class undergraduate degree"" (2027-entry window not yet published).","No clause found.","None stated.","""The scholarship funds the difference between UK and international level tuition fees."" No stipend.","Matches PhD","None - ""You do not need to make a separate application. If you meet the eligibility criteria, your Faculty will apply to the Doctoral College for the bursary for you.""","TIED","1-4 via NOC","2026-09-07"
